證券代號,證券名稱,變更交易,分盤交易,屬管理股票,分盤或管理股票撮合循環時間(分鐘),停止交易
2719,燦星旅,Ｙ,Ｙ, , 030,
2724,富驛-KY,Ｙ,Ｙ, , 030,
3064,泰偉,Ｙ,Ｙ, , 030,
3073,凱柏實業, , , , ,Ｙ
3085,新零售,Ｙ,Ｙ, , 030,
3095,及成,Ｙ,Ｙ, , 030,
3162,精確,Ｙ, , , ,
3191,和進,Ｙ, , , 025,
3219,倚強股份,Ｙ, , , ,
3629,地心引力,Ｙ, , , ,
3632,研勤,Ｙ, , , ,
4131,晶宇,Ｙ,Ｙ, , 030,
4198,欣大健康,Ｙ,Ｙ, , 030,
4304,勝昱,Ｙ, , , ,
4419,元勝,Ｙ,Ｙ, , 030,
4609,唐鋒,Ｙ, , , ,
4712,南璋,Ｙ, , , ,
4806,昇華,Ｙ, , , ,
4903,聯光通,Ｙ, , , ,
4944,兆遠,Ｙ, , , ,
5205,中茂,Ｙ,Ｙ, , 030,
5304,鼎創達,Ｙ, , , ,
5310,天剛,Ｙ,Ｙ, , 030,
5314,世紀,Ｙ, , , ,
5345,天揚,Ｙ, , , ,
5381,合正,Ｙ, , , ,
5475,德宏,Ｙ, , , ,
5701,劍湖山,Ｙ,Ｙ, , 030,
6103,合邦,Ｙ,Ｙ, , 030,
6198,凌泰, , , , ,Ｙ
6236,康呈,Ｙ,Ｙ, , 030,
6259,百徽,Ｙ, , , ,
6287,元隆,Ｙ,Ｙ, , 030,
6291,沛亨,Ｙ, , , ,
6404,通訊-KY,Ｙ,Ｙ, , 030,
8080,永利聯合,Ｙ,Ｙ, , 030,
8291,尚茂,Ｙ,Ｙ, , 030,
911613,特藝-DR, , , , ,Ｙ
