有價證券代號,有價證券名稱,國際證券辨識號碼(ISIN Code),上市日,市場別,產業別,CFICode,備註
 上櫃認購(售)權證  ,,,,,,,
70737P,博智元大21售03,TW22Z70737P1,2022/05/20,上櫃,,RWSCPE,
70741P,元太元富22售02,TW22Z70741P3,2022/05/23,上櫃,,RWSCPE,
70753P,光頡國票21售01,TW22Z70753P8,2022/05/24,上櫃,,RWSCPE,
70759P,元太國泰21售06,TW22Z70759P5,2022/05/26,上櫃,,RWSCPE,
70766P,同致凱基21售01,TW22Z70766P0,2022/05/30,上櫃,,RWSCPE,
70789P,力旺康和22售03,TW22Z70789P2,2022/06/07,上櫃,,RWSCPE,
70797P,力旺元大24售02,TW22Z70797P5,2022/06/07,上櫃,,RWSCPE,
70800P,元太凱基22售01,TW22Z70800P7,2022/06/08,上櫃,,RWSCPE,
70803P,鈺創國票22售01,TW22Z70803P1,2022/06/08,上櫃,,RWSCPE,
70805P,創惟元大26售01,TW22Z70805P6,2022/06/08,上櫃,,RWSCPE,
70806P,群聯麥證22售01,TW22Z70806P4,2022/06/09,上櫃,,RWSCPE,
70818P,晶宏群益22售01,TW22Z70818P9,2022/06/10,上櫃,,RWSCPE,
70822P,鈺創元大24售01,TW22Z70822P1,2022/06/10,上櫃,,RWSCPE,
70838P,漢磊群益23售02,TW22Z70838P7,2022/06/14,上櫃,,RWSCPE,
70847P,漢磊國票22售02,TW22Z70847P8,2022/06/14,上櫃,,RWSCPE,
70848P,漢磊國票23售02,TW22Z70848P6,2022/06/14,上櫃,,RWSCPE,
70855P,鈺創群益22售01,TW22Z70855P1,2022/06/15,上櫃,,RWSCPE,
70863P,力旺國票22售02,TW22Z70863P5,2022/06/16,上櫃,,RWSCPE,
70864P,大樹國票22售01,TW22Z70864P3,2022/06/16,上櫃,,RWSCPE,
70865P,台星科國票23售01,TW22Z70865P0,2022/06/16,上櫃,,RWSCPE,
70867P,穩懋國票23售01,TW22Z70867P6,2022/06/16,上櫃,,RWSCPE,
70871P,信驊國票23售01,TW22Z70871P8,2022/06/17,上櫃,,RWSCPE,
70872P,撼訊國票23售01,TW22Z70872P6,2022/06/17,上櫃,,RWSCPE,
70873P,宏捷科群益22售01,TW22Z70873P4,2022/06/17,上櫃,,RWSCPE,
70875P,元太國票23售01,TW22Z70875P9,2022/06/20,上櫃,,RWSCPE,
70876P,精材國票22售01,TW22Z70876P7,2022/06/20,上櫃,,RWSCPE,
70877P,撼訊國票23售02,TW22Z70877P5,2022/06/20,上櫃,,RWSCPE,
70879P,波若威群益22售01,TW22Z70879P1,2022/06/20,上櫃,,RWSCPE,
70881P,金麗科國票23售01,TW22Z70881P7,2022/06/21,上櫃,,RWSCPE,
70882P,茂達國票23售01,TW22Z70882P5,2022/06/21,上櫃,,RWSCPE,
70883P,群聯國票21售03,TW22Z70883P3,2022/06/21,上櫃,,RWSCPE,
70884P,碩禾國票22售01,TW22Z70884P1,2022/06/21,上櫃,,RWSCPE,
70885P,合晶群益22售01,TW22Z70885P8,2022/06/21,上櫃,,RWSCPE,
70886P,德微群益22售02,TW22Z70886P6,2022/06/21,上櫃,,RWSCPE,
70889P,元太元大23售03,TW22Z70889P0,2022/06/21,上櫃,,RWSCPE,
70890P,元太元大25售01,TW22Z70890P8,2022/06/21,上櫃,,RWSCPE,
70891P,中美晶國票21售03,TW22Z70891P6,2022/06/22,上櫃,,RWSCPE,
70892P,信驊國票23售02,TW22Z70892P4,2022/06/22,上櫃,,RWSCPE,
70893P,威剛國票22售01,TW22Z70893P2,2022/06/22,上櫃,,RWSCPE,
70894P,頎邦國票21售01,TW22Z70894P0,2022/06/22,上櫃,,RWSCPE,
70895P,元太國泰22售02,TW22Z70895P7,2022/06/22,上櫃,,RWSCPE,
70898P,宏捷科元大23售01,TW22Z70898P1,2022/06/22,上櫃,,RWSCPE,
70899P,金麗科元大26售01,TW22Z70899P9,2022/06/22,上櫃,,RWSCPE,
70901P,晶焱群益22售02,TW22Z70901P3,2022/06/22,上櫃,,RWSCPE,
70903P,環球晶群益22售01,TW22Z70903P9,2022/06/22,上櫃,,RWSCPE,
70906P,元太凱基22售02,TW22Z70906P2,2022/06/23,上櫃,,RWSCPE,
70907P,元太國票23售02,TW22Z70907P0,2022/06/23,上櫃,,RWSCPE,
70908P,德微國票22售01,TW22Z70908P8,2022/06/23,上櫃,,RWSCPE,
70909P,撼訊元大23售01,TW22Z70909P6,2022/06/23,上櫃,,RWSCPE,
70911P,晶宏國票22售01,TW22Z70911P2,2022/06/24,上櫃,,RWSCPE,
70913P,胡連國票23售01,TW22Z70913P8,2022/06/27,上櫃,,RWSCPE,
70914P,晶宏國票23售01,TW22Z70914P6,2022/06/27,上櫃,,RWSCPE,
70918P,宏捷科群益23售01,TW22Z70918P7,2022/06/27,上櫃,,RWSCPE,
70922P,元太國票23售03,TW22Z70922P9,2022/06/28,上櫃,,RWSCPE,
70924P,鈺創群益24售01,TW22Z70924P5,2022/06/28,上櫃,,RWSCPE,
70925P,漢磊群益23售03,TW22Z70925P2,2022/06/28,上櫃,,RWSCPE,
70929P,漢磊凱基23售03,TW22Z70929P4,2022/06/28,上櫃,,RWSCPE,
70930P,元太兆豐23售01,TW22Z70930P2,2022/06/29,上櫃,,RWSCPE,
70931P,凡甲國票23售01,TW22Z70931P0,2022/06/29,上櫃,,RWSCPE,
70935P,元太元大23售05,TW22Z70935P1,2022/06/29,上櫃,,RWSCPE,
